Student,LPIPS,SSIM
112598084.jpg,0.0,1.0
112318080.jpg,0.3326106071472168,0.8366372909379601
112318067.jpg,0.38716503977775574,0.8375665089155299
112598053.jpg,0.40379074215888977,0.8487406066631129
111C52018.jpg,0.4130311608314514,0.7949700312920216
112598016.jpg,0.48310387134552,0.7469765245956919
111598079.jpg,0.48842620849609375,0.7463625308199338
110598039.jpg,0.5400517582893372,0.7671379232663114
